technology,Bottom storage temperature,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,Motor size,Top storage temperature,VOM,ammonia-input,c_b,c_v,capacity,capture rate,capture_rate,carbondioxide-input,carbondioxide-output,clinker-input,coal-input,commodity,compression-electricity-input,compression-heat-output,discount rate,district heat surcharge,district heat-input,economic_lifetime,efficiency,efficiency-biochar,efficiency-biomass,efficiency-electricity,efficiency-heat,efficiency-hydrogen,efficiency-tot,electricity-input,energy to power ratio,fuel,gas-input,hbi-input,heat-input,heat-output,hydrogen-input,investment,lifetime,lohc-input,methane-input,methanol-input,min_fill_level,naphtha-input,nitrogen-input,oil-input,ore-input,p_nom_ratio,pelletizing cost,scrap-input,slag-input,standing losses,temperature difference,wood-input,yield-biochar,marginal_cost,capital_cost
gas storage,,,,0.0,,0.5368,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,236.6,100.0,,,,,,,,,,,,,,,,,0.0,17.851177705084
gas storage charger,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,15247.9,25.0,,,,,,,,,,,,,,,,,0.0,1308.430185528987
gas storage discharger,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,5082.6,25.0,,,,,,,,,,,,,,,,,0.0,436.140534825755
geothermal,,,,0.12,,2.0,,,0.0,,,,,,,,,,,,,,0.07,25.0,0.8,,1.0,,,,,,,,,0.0,,,,,,0.0,30.0,,,,,,,,,,,,,,,,,0.0,0.0
grey methanol synthesis,,,,0.0,,0.0,,,0.0,,,,,,,,0.0568,,,,,,0.07,,,,0.569,,,,,,,,,0.0,,,,,,1001188.0,25.0,,,,,,,,,,,,,,,,,0.0,85912.46011512374
helmeth,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.8,,,,,,,,,0.0,,,,,,2116443.3,25.0,,,,,,,,,,,,,,,,,0.0,245106.3932412123
home battery inverter,,,,0.0,,0.2512,,,0.0,,,,,,,,,,,,,,0.07,,,,0.955,,,,,,,,,0.0,,,,,,322847.10000000003,10.0,,,,,,,,,,,,,,,,,0.0,46777.15577597177
home battery storage,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,281558.80000000005,22.5,,,,,,,,,,,,,,,,,0.0,25210.08685528993
hydro,,,,0.0,,1.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9,,,,,,,,,0.0,,,,,,2274817.7,80.0,,,,,,,,,,,,,,,,,0.0,182698.73459185107
hydrogen direct iron reduction furnace,,,,0.0,,11.3,,,0.0,,,,,,,,,,,,,,0.07,,,20.0,1.0,,,,,,,1.03,,0.0,,,,,2.1,4277858.0,40.0,,,,,,,,1.59,,,,,,,,,0.0,804276.3988035849
hydrogen storage compressor,,,,0.0,,4.0,,,0.0,,,,,,,,,,,,0.05,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,87690.0,15.0,,,,,,,,,,,,,,,,,0.0,13135.49064003126
hydrogen storage tank type 1,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,13500.0,20.0,,,,6.0,,,,,,,,,,,,,0.0,1544.3044975339515
hydrogen storage tank type 1 including compressor,,,,0.0,,1.0794,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,54185.5,27.5,,,,,,,,,,,,,,,,,0.0,5076.686492219506
hydrogen storage underground,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,2658.5,100.0,,,,,,,,,,,,,,,,,0.0,186.30971269723506
industrial heat pump high temperature,,,,0.0,,0.0929,,,3.2526,,,,,,,,,,,,,,0.07,,,,3.0,,,,,,,,,0.0,,,,,,996930.0,20.0,,,,,,,,,,,,,,,,,3.2526,95029.28743122387
industrial heat pump medium temperature,,,,0.0,,0.1115,,,3.2526,,,,,,,,,,,,,,0.07,,,,2.625,,,,,,,,,0.0,,,,,,830775.0,20.0,,,,,,,,,,,,,,,,,3.2526,79345.59700935324
iron ore DRI-ready,,,,0.0,,0.0,,,0.0,,,,,,,,,,,97.73,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,0.0,0.0
iron-air battery,,,,0.0,,1.0219,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,25134.2,17.5,,,,,,,,,,,,,,,,,0.0,2792.1570397817904
iron-air battery charge,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.7,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,0.0,0.0
iron-air battery discharge,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.59,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,0.0,0.0
lignite,,,,0.4069,,1.31,,,3.2612,,,,,,,,,,,,,,0.07,,,,0.33,,,,,,,,,3.2985,,,,,,3827162.9,40.0,,,,,,,,,,,,,,,,,13.256654545454547,337208.02744802914
methanation,,,,0.0,,3.0,,,0.0,,,,,,,0.198,,,,,,,0.07,,,,0.8,,,,,,,,,0.0,,,,,1.282,728673.9,20.0,,,,,,,,,,,,,,,,,0.0,90641.87833374851
methane storage tank incl. compressor,,,,0.0,,1.9,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,8961.5075,30.0,,,,,,,,,,,,,,,,,0.0,892.4443019628492
methanol,,,,0.2482,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,0.0,0.0
methanol-to-kerosene,,,,0.0,,4.5,,,1.35,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,0.0279,288000.0,30.0,,,1.0764,,,,,,,,,,,,,,1.35,36168.88421120001
methanol-to-olefins/aromatics,,,,0.0,,3.0,,,31.7466,,,,,,,,0.6107,,,,,,0.07,,,,1.0,,,,,,,1.3889,,0.0,,,,,,2781006.4359,30.0,,,18.03,,,,,,,,,,,,,,31.7466,307541.49988743453
methanolisation,,,,0.0,,3.0,,,0.0,,,,,0.9,,0.248,,,,,,,0.07,,,,1.0,,,,,,,0.271,,0.0,,,,0.1,1.138,761417.4621,20.0,,,,,,,,,,,,,,,,,0.0,94714.94582262349
micro CHP,,,,0.0,,6.4286,,,0.0,,,,,,,,,,,,,,0.07,,,,0.351,,,,0.604,,,,,0.0,,,,,,9224398.8,20.0,,,,,,,,,,,,,,,,,0.0,1463717.692211377
natural gas direct iron reduction furnace,,,,0.0,,11.3,,,0.0,,,,,,,,,,,,,,0.07,,,20.0,1.0,,,,,,,,,0.0,2.78,,,,,4277858.0,40.0,,,,,,,,1.59,,,,,,,,,0.0,804276.3988035849
nuclear,,,,0.0,,1.27,,,3.5464,,,,,,,,,,,,,,0.07,,,,0.326,,,,,,,,,3.4122,,,,,,8594135.399999999,40.0,,,,,,,,,,,,,,,,,14.013271165644172,753784.2152972104
offwind,,,,0.0,,2.3741,,,0.0212,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1769117.0999999999,30.0,,,,,,,,,,,,,,,,,0.0212,184567.39355010682
offwind-ac-connection-submarine,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,2841.3251,25.0,,,,,,,,,,,,,,,,,0.0,243.8155764230594
offwind-ac-connection-underground,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1420.1334,25.0,,,,,,,,,,,,,,,,,0.0,121.86238157634239
offwind-ac-station,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,264555.4,25.0,,,,,,,,,,,,,,,,,0.0,22701.63570752008
offwind-dc-connection-submarine,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,2116.4433,25.0,,,,,,,,,,,,,,,,,0.0,181.6130942412123
offwind-dc-connection-underground,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1058.2216,25.0,,,,,,,,,,,,,,,,,0.0,90.80654283008032
offwind-dc-station,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,423288.7,25.0,,,,,,,,,,,,,,,,,0.0,36322.622280663156
offwind-float,,,,0.0,,1.15,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,2350000.0,20.0,,,,,,,,,,,,,,,,,0.0,248848.3754966508
offwind-float-connection-submarine,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,2118.5597,25.0,,,,,,,,,,,,,,,,,0.0,181.79470361985813
offwind-float-connection-underground,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1039.4778,25.0,,,,,,,,,,,,,,,,,0.0,89.19812765739958
offwind-float-station,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,415791.1,25.0,,,,,,,,,,,,,,,,,0.0,35679.24934674949
oil,,,,0.2571,,2.5143,,,6.3493,,,,,,,,,,,,,,0.07,,,,0.35,,,,,,,,,52.9111,,,,,,362970.0,25.0,,,,,,,,,,,,,,,,,157.52387142857143,40272.798145584995
onwind,,,,0.0,,1.2347,,,1.508,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1139882.5999999999,28.5,,,,,,,,,,,,,,,,,1.508,107441.45702058321
organic rankine cycle,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.12,,0.0,,,,,,1376000.0,30.0,,,,,,,,,,,,,,,,,0.0,138406.891231289
ror,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9,,,,,,,,,0.0,,,,,,3412226.6,80.0,,,,,,,,,,,,,,,,,0.0,308170.3719034552
seawater RO desalination,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.003,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,0.0,0.0
seawater desalination,,,,0.0,,4.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,3.0348,,0.0,,,,,,39056.5182,30.0,,,,,,,,,,,,,,,,,0.0,4709.685063404258
shipping fuel methanol,,,,0.2482,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,72.0,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,72.0,0.0
solar,,,,0.0,,1.7275,,,0.0106,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,676570.2999999999,37.5,,,,,,,,,,,,,,,,,0.0106,63114.92398493304
solar-rooftop,,,,0.0,,1.2567,,,0.0,,,,,,,,,,,,,,0.04,,,,1.0,,,,,,,,,0.0,,,,,,880025.1,37.5,,,,,,,,,,,,,,,,,0.0,56759.84685271247
solar-rooftop commercial,,,,0.0,,1.3559,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,719059.4,37.5,,,,,,,,,,,,,,,,,0.0,64406.561739700104
solar-rooftop residential,,,,0.0,,1.1576,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1040990.8,37.5,,,,,,,,,,,,,,,,,0.0,91177.8566169828
solar-utility,,,,0.0,,2.1982,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,473115.6,37.5,,,,,,,,,,,,,,,,,0.0,46362.287599581854
solar-utility single-axis tracking,,,,0.0,,2.0365,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,552411.2999999999,37.5,,,,,,,,,,,,,,,,,0.0,53239.50741248619
solid biomass,,,,0.3667,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,13.6489,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,13.6489,0.0
solid biomass boiler steam,,,,0.0,,5.7564,,,2.8216,,,,,,,,,,,,,,0.07,,,,0.89,,,,,,,,,0.0,,,,,,608777.2999999999,25.0,,,,,,,,,,,,,,,,,2.8216,87283.1514824003
solid biomass boiler steam CC,,,,0.0,,5.7564,,,2.8216,,,,,,,,,,,,,,0.07,,,,0.89,,,,,,,,,0.0,,,,,,608777.2999999999,25.0,,,,,,,,,,,,,,,,,2.8216,87283.1514824003
solid biomass to hydrogen,,,,0.0,,4.25,,,0.0,,,,,0.9,,,,,,,,,0.07,,,,0.56,,,,,,,,,0.0,,,,,,3972299.4,25.0,,,,,,,,,,,,,,,,,0.0,509687.79056933965
steel carbon capture retrofit,,,,0.0,,5.0,,,0.0,,,,,,0.9,,,,,,,,0.07,,,,1.0,,,,,,,0.16,,0.0,0.76,,,,,3561435.753,20.0,,,,,,,,,,,,,,,,,0.0,514246.1282223049
uranium,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,3.4122,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,3.4122,0.0
waste CHP,,,,0.0,,2.3789,,,28.4644,,0.2872,1.0,,,,,,,,,,,0.07,,,,0.2051,,,,0.7627,,,,,0.0,,,,,,8829850.9,25.0,,,,,,,,,,,,,,,,,28.4644,967747.3957704597
waste CHP CC,,,,0.0,,2.3789,,,28.4644,,0.2872,1.0,,,,,,,,,,,0.07,,,,0.2051,,,,0.7627,,,,,0.0,,,,,,8829850.9,25.0,,,,,,,,,,,,,,,,,28.4644,967747.3957704597
water tank charger,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,0.0,0.0
water tank discharger,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9,,,,,,,,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,0.0,0.0
